Well,Linker 1,Part 1,Linker 2,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5
E3,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA6_TyrA0_gRNA
E4,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pCCW12,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA6_TyrA0_gRNA
E5,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
E6,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pPGK1,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
E7,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pREV1,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA2_TyrA4_gRNA
E8,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pREV1,L1,TU_aro3_Var_pREV1,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA1_TyrA5_gRNA
E9,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pHHF1,L2,TU_dCas9_Var_pPOP6,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
E10,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pPOP6,L3,TU_gRNA_Cassette_Var_PheA1_TyrA5_gRNA
E11,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA0_TyrA6_gRNA
E12,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pALD6,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA6_TyrA0_gRNA
F1,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pPGK1,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA3_TyrA3_gRNA
F2,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pHHF1,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA1_TyrA5_gRNA
F3,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pCCW12,L2,TU_dCas9_Var_pALD6,L3,TU_gRNA_Cassette_Var_PheA1_TyrA5_gRNA
F4,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pALD6,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA1_TyrA5_gRNA
F5,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pCCW12,L1,TU_aro3_Var_pPOP6,L2,TU_dCas9_Var_pHHF1,L3,TU_gRNA_Cassette_Var_PheA6_TyrA0_gRNA
F6,LMS,dummyBackbone,LMP,TU_Tkl1_Var_pPOP6,L1,TU_aro3_Var_pCCW12,L2,TU_dCas9_Var_pREV1,L3,TU_gRNA_Cassette_Var_PheA4_TyrA2_gRNA
